timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
46,0,1404,1392,2348,1386,1244,-1.2294,9.0187,2.5622,0.0048,0.0100,-0.0177,74.14,7.47
107,0,1405,1398,2348,1387,1246,-1.4784,8.9971,2.6269,0.0149,-0.0076,-0.0411,73.72,8.96
158,0,1407,1399,2348,1385,1254,-1.4018,8.9875,2.4952,0.0109,-0.0450,-0.0245,74.48,8.55
209,0,1406,1400,2349,1387,1255,-1.2989,8.9852,2.5120,0.0132,-0.0193,-0.0020,74.38,7.93
260,0,1416,1398,2349,1385,1245,-1.2653,8.9564,2.4665,0.0072,-0.0298,-0.0073,74.60,7.76
311,0,1414,1391,2350,1387,1241,-1.2534,9.0091,2.4545,-0.0056,-0.0282,0.0034,74.76,7.65
372,0,1415,1401,2350,1386,1245,-1.2127,9.0139,2.4856,-0.0392,-0.0320,0.0042,74.58,7.39
423,0,1415,1400,2349,1387,1242,-1.3036,8.9109,2.5120,-0.0653,-0.0321,0.0071,74.26,8.02
474,0,1406,1400,2348,1385,1245,-1.4449,9.0019,2.7682,-0.0660,-0.0075,0.0035,72.91,8.72
545,0,1417,1400,2348,1386,1246,-1.4305,8.8918,2.6987,-0.0636,-0.0208,0.0249,73.12,8.75
576,0,1405,1401,2349,1389,1245,-1.2270,8.8966,2.7945,-0.0748,-0.0072,0.0352,72.56,7.50
637,0,1417,1402,2348,1384,1244,-1.1384,8.8774,2.7274,-0.0436,-0.0321,0.0204,72.92,6.99
688,0,1405,1399,2350,1386,1246,-1.2175,8.8511,2.9310,-0.0355,-0.0036,0.0249,71.68,7.44
739,0,1408,1392,2348,1387,1244,-1.1648,8.9253,2.7777,-0.0150,-0.0176,0.0075,72.71,7.10
790,0,1405,1400,2348,1386,1244,-1.2749,8.8822,2.8448,-0.0066,0.0033,0.0076,72.24,7.78
841,0,1416,1400,2350,1385,1246,-1.2198,8.9085,2.7825,-0.0060,-0.0013,-0.0029,72.65,7.45
902,0,1405,1389,2346,1386,1244,-1.1839,8.9684,2.9238,0.0102,0.0185,0.0008,71.94,7.15
953,0,1415,1401,2349,1388,1253,-1.1672,8.9325,2.7705,0.0141,0.0016,-0.0246,72.77,7.11
1004,0,1417,1400,2349,1387,1245,-1.2342,8.9636,2.8232,0.0088,-0.0037,-0.0141,72.52,7.48
1055,0,1413,1392,2349,1384,1247,-1.3036,8.8223,2.8089,0.0040,-0.0216,-0.0124,72.34,8.01
1106,0,1408,1400,2350,1386,1246,-1.3132,8.9421,2.7873,0.0140,0.0099,-0.0085,72.69,7.98
1167,0,1406,1392,2347,1386,1244,-1.3204,8.9397,2.7490,0.0034,-0.0073,0.0068,72.91,8.04
1218,0,1406,1400,2349,1387,1247,-1.2318,8.8702,2.7131,-0.0036,-0.0007,0.0024,72.99,7.56
1269,0,1417,1401,2347,1386,1247,-1.2294,8.9852,2.6867,0.0034,-0.0064,-0.0033,73.35,7.47
1330,0,1416,1398,2350,1385,1244,-1.2079,8.8918,2.7658,-0.0094,-0.0194,0.0075,72.72,7.39
1381,0,1418,1401,2348,1388,1246,-1.1959,8.8726,2.6341,0.0013,-0.0017,-0.0082,73.47,7.36
1432,0,1418,1399,2347,1388,1246,-1.2558,8.9133,2.8448,0.0161,-0.0001,0.0128,72.30,7.64
1483,0,1405,1401,2348,1386,1245,-1.2031,8.8319,2.7370,0.0060,-0.0067,0.0070,72.78,7.41
1544,0,1416,1400,2350,1386,1246,-1.2582,8.9636,2.7777,0.0225,-0.0009,-0.0050,72.78,7.64
1595,0,1416,1400,2349,1390,1256,-1.1337,8.9229,2.6030,0.0096,-0.0125,0.0008,73.74,6.95
1646,0,1417,1400,2348,1386,1247,-1.1839,8.9253,2.7083,-0.0006,-0.0073,0.0018,73.12,7.23
1697,0,1406,1399,2349,1388,1245,-1.2151,8.9756,2.7322,0.0122,-0.0109,0.0022,73.07,7.38
1748,0,1408,1401,2349,1388,1244,-1.2653,8.9349,2.7514,-0.0003,0.0039,-0.0062,72.88,7.71
