timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
25,0,1274,1404,2621,1343,1239,7.6325,6.5546,5.1646,0.0201,0.0353,0.0336,51.76,-42.45
86,0,1279,1404,2623,1352,1240,7.7211,6.5522,5.1862,0.0167,-0.0887,0.0280,51.64,-42.74
128,0,1277,1403,2621,1342,1238,7.6924,6.6528,5.5381,-0.0102,0.0521,0.0636,50.22,-41.63
190,0,1278,1404,2621,1344,1239,7.7115,6.4421,5.0425,-0.0200,-0.1066,0.0694,51.95,-43.31
232,0,1277,1406,2621,1350,1240,7.5918,6.5211,5.3657,0.0039,-0.0555,0.0276,50.55,-41.96
294,0,1280,1403,2622,1343,1239,7.9557,6.5618,5.2077,-0.0075,0.0269,-0.0125,51.56,-43.52
356,0,1277,1403,2621,1343,1238,7.6517,6.4517,5.3298,-0.0431,-0.0546,0.0040,50.44,-42.44
398,0,1276,1403,2620,1342,1232,7.6660,6.5762,5.3873,-0.0468,-0.0275,-0.0202,50.68,-42.04
460,0,1278,1402,2621,1352,1230,7.3045,6.4852,5.5070,-0.0647,0.0004,0.0058,49.66,-40.65
502,0,1278,1404,2620,1343,1232,7.5583,6.4900,5.6076,-0.0174,0.0098,0.0272,49.17,-41.39
564,0,1278,1403,2623,1342,1240,7.6708,6.4517,5.5070,0.0071,-0.0013,0.0453,49.52,-42.12
626,0,1278,1401,2620,1343,1238,7.9246,6.4780,5.5309,0.0262,-0.0358,0.0369,49.51,-42.93
668,0,1277,1403,2621,1343,1238,7.8695,6.4804,5.3179,0.0030,-0.0042,0.0241,50.63,-43.19
731,0,1287,1401,2623,1343,1240,7.7690,6.5067,5.3538,-0.0109,-0.0413,-0.0105,50.55,-42.68
772,0,1278,1404,2622,1352,1231,7.6756,6.4612,5.4280,-0.0122,0.0103,-0.0318,49.97,-42.29
834,0,1288,1403,2621,1344,1239,7.4314,6.4924,5.5645,0.0034,-0.0293,-0.0221,49.40,-40.99
876,0,1279,1403,2621,1343,1231,7.3931,6.5522,5.4352,0.0034,0.0122,0.0219,50.32,-40.97
937,0,1279,1401,2621,1344,1231,7.9366,6.5546,5.1143,-0.0322,-0.1132,0.1110,52.04,-43.67
979,0,1278,1403,2620,1351,1232,7.8408,6.3655,5.5405,-0.1114,-0.0245,0.0379,48.96,-42.90
1041,0,1278,1402,2622,1342,1230,7.9438,6.4708,5.6099,-0.0491,-0.0775,-0.0509,49.08,-42.85
1103,0,1276,1403,2621,1351,1228,7.6062,6.4110,5.6770,-0.0095,-0.0919,-0.0473,48.47,-41.61
1145,0,1279,1403,2622,1351,1231,7.5104,6.4517,5.7225,0.0109,-0.0160,-0.0306,48.43,-41.05
1207,0,1278,1404,2620,1343,1229,7.6541,6.4229,5.4878,0.0079,-0.0474,-0.0501,49.49,-42.18
1249,0,1277,1404,2621,1344,1232,7.4961,6.3487,5.5142,0.0046,-0.0511,-0.0211,49.02,-41.71
1311,0,1279,1402,2623,1351,1239,7.4673,6.4612,5.5597,0.0303,-0.0016,-0.0154,49.29,-41.22
1353,0,1277,1402,2621,1350,1239,7.6708,6.5570,5.4160,0.0326,-0.0311,-0.0161,50.44,-42.05
1415,0,1279,1402,2621,1351,1230,7.6732,6.5570,5.3394,0.0115,-0.0202,-0.0145,50.84,-42.22
1457,0,1285,1403,2619,1352,1231,7.4817,6.5929,5.4878,0.0054,-0.0122,-0.0136,50.23,-41.09
1519,0,1279,1403,2621,1351,1240,7.6445,6.4469,5.5166,-0.0123,-0.0354,-0.0070,49.45,-42.02
1561,0,1279,1402,2620,1342,1231,7.3787,6.4828,5.7033,0.0021,-0.0002,0.0004,48.66,-40.52
1623,0,1278,1403,2624,1352,1232,7.5511,6.5402,5.6435,0.0251,0.0138,0.0114,49.21,-41.16
1684,0,1279,1402,2623,1352,1239,7.6684,6.4971,5.4064,0.0296,-0.0467,0.0090,50.24,-42.22
1726,0,1279,1403,2621,1351,1239,7.5751,6.4157,5.6099,0.0185,-0.0483,0.0090,48.83,-41.63
1788,0,1277,1401,2620,1350,1232,7.3979,6.5881,5.5621,0.0122,0.0612,0.0241,49.83,-40.63
1829,0,1277,1401,2618,1343,1229,7.7067,6.6384,5.3226,0.0131,-0.0457,0.0179,51.28,-42.17
1891,0,1286,1404,2622,1352,1240,7.4506,6.6097,5.3729,-0.0188,0.0720,0.0467,50.89,-41.18
1953,0,1277,1403,2620,1344,1230,7.6397,6.4325,5.5309,-0.0362,-0.0731,0.0227,49.31,-42.00
1995,0,1279,1403,2622,1352,1240,7.4889,6.3583,5.6387,-0.0362,0.0327,0.0301,48.43,-41.39
2057,0,1278,1405,2622,1351,1241,7.6589,6.3463,5.7129,-0.0006,-0.0234,0.0147,48.01,-41.89
2099,0,1287,1401,2621,1343,1239,7.5631,6.4612,5.5788,0.0300,-0.0142,0.0114,49.19,-41.54
2161,0,1278,1403,2622,1351,1232,7.6397,6.5570,5.6506,0.0450,0.0004,-0.0078,49.25,-41.43
2203,0,1278,1403,2624,1352,1241,7.5296,6.5259,5.5429,0.0246,-0.0253,0.0019,49.66,-41.33
2265,0,1286,1401,2622,1351,1231,7.5487,6.5355,5.5597,0.0239,-0.0014,0.0018,49.61,-41.34
2307,0,1287,1404,2622,1341,1230,7.5415,6.4756,5.5525,0.0134,0.0011,0.0056,49.39,-41.48
2368,0,1278,1404,2623,1343,1241,7.6182,6.4588,5.6076,0.0163,-0.0240,0.0059,49.04,-41.69
2410,0,1279,1402,2622,1352,1238,7.3021,6.4397,5.7081,-0.0010,0.0047,0.0264,48.45,-40.32
2472,0,1278,1401,2620,1351,1238,7.5535,6.4564,5.5836,0.0109,0.0264,0.0204,49.15,-41.51
2534,0,1279,1403,2622,1340,1230,7.6038,6.4732,5.6722,0.0591,0.0319,0.0036,48.77,-41.46
2576,0,1279,1404,2622,1351,1240,7.5320,6.5259,5.3681,0.0518,-0.0045,0.0168,50.56,-41.71
2638,0,1278,1404,2621,1352,1241,7.6828,6.6001,5.5405,0.0442,-0.0334,0.0050,49.99,-41.72
2680,0,1278,1400,2619,1342,1231,7.3189,6.5378,5.3777,0.0130,-0.0657,0.0090,50.56,-40.85
2742,0,1287,1403,2622,1351,1239,7.6900,6.4852,5.5142,0.0110,-0.2055,-0.0040,49.63,-42.09
2804,0,1277,1399,2617,1341,1230,7.4721,6.4900,5.5285,-0.0179,0.1194,0.0114,49.57,-41.23
2846,0,1278,1400,2621,1344,1240,7.5463,6.5450,5.4136,0.0051,-0.0771,0.0135,50.40,-41.62
2908,0,1277,1403,2622,1343,1240,7.4386,6.6264,5.6171,0.0077,0.0994,0.0307,49.71,-40.57
2949,0,1279,1403,2621,1353,1241,7.4314,6.4900,5.3514,0.0110,-0.0017,0.0376,50.49,-41.46
