timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
16,0,1312,1321,2557,1292,1224,3.5121,4.8284,8.1622,0.0314,-0.0383,0.0083,30.61,-20.32
58,0,1320,1323,2560,1293,1225,3.5193,4.8882,8.3058,0.0422,-0.0318,0.0279,30.48,-20.06
120,0,1320,1323,2557,1290,1224,3.5265,4.8428,8.1957,0.0407,-0.0478,0.0393,30.58,-20.33
162,0,1311,1322,2559,1291,1223,3.6222,4.8763,8.3298,0.0359,-0.0136,0.0363,30.34,-20.57
224,0,1319,1321,2556,1291,1224,3.7084,4.8811,8.2220,0.0355,-0.0506,0.0160,30.70,-21.20
286,0,1319,1322,2557,1290,1214,3.5959,4.8667,8.1382,0.0238,-0.0081,0.0203,30.88,-20.77
328,0,1318,1323,2558,1290,1224,3.7419,4.9265,8.0856,0.0332,-0.0137,0.0144,31.35,-21.56
390,0,1320,1324,2559,1291,1224,3.5863,4.8715,8.0879,-0.0224,-0.0269,0.0090,31.06,-20.80
432,0,1321,1323,2568,1292,1224,3.7012,4.8978,8.2771,0.0075,0.0148,0.0075,30.61,-21.05
493,0,1319,1322,2558,1291,1223,3.7587,4.9218,8.1239,-0.0110,-0.0222,-0.0181,31.21,-21.59
535,0,1319,1324,2560,1290,1224,3.5648,4.8643,8.2508,0.0095,0.0325,-0.0072,30.52,-20.41
597,0,1310,1323,2555,1292,1225,3.6055,4.8164,8.3274,0.0217,-0.0232,-0.0161,30.04,-20.55
659,0,1321,1320,2558,1288,1223,3.2870,4.8332,8.4806,0.0490,0.0291,0.0135,29.68,-18.61
700,0,1312,1324,2568,1289,1222,3.5648,4.9672,8.0879,0.0472,-0.0102,0.0208,31.56,-20.58
762,0,1311,1322,2557,1291,1222,3.5145,4.9457,8.0592,0.0282,-0.0106,0.0214,31.54,-20.39
804,0,1319,1322,2558,1292,1224,3.5432,4.7877,8.1813,0.0235,0.0223,0.0283,30.34,-20.50
866,0,1322,1323,2557,1290,1215,3.7060,4.7901,8.0856,0.0186,-0.0342,0.0094,30.64,-21.52
908,0,1319,1324,2559,1291,1215,3.5624,4.8811,8.0784,0.0086,0.0071,0.0078,31.14,-20.68
