timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
41,0,1306,1359,2540,1264,1210,3.3948,6.1189,4.9635,0.0034,-0.0188,-0.0134,50.95,-23.31
103,0,1307,1360,2538,1263,1211,3.3038,6.1763,4.9851,-0.0029,-0.0256,-0.0196,51.09,-22.60
145,0,1305,1355,2536,1262,1209,3.2416,6.1332,5.0593,0.0122,0.0075,0.0028,50.48,-22.18
207,0,1305,1366,2535,1262,1209,3.2056,6.1979,4.8845,0.0063,0.0051,0.0011,51.76,-22.11
268,0,1307,1367,2539,1262,1209,3.2942,6.0422,5.0880,-0.0107,-0.0287,-0.0078,49.90,-22.64
310,0,1306,1368,2540,1264,1210,3.2248,6.0135,5.1096,0.0102,0.0114,0.0079,49.65,-22.23
351,0,1306,1367,2540,1261,1210,3.2511,6.0806,5.0904,0.0075,-0.0189,-0.0070,50.07,-22.29
413,0,1306,1358,2538,1271,1211,3.1889,6.1236,5.1335,0.0018,0.0217,0.0154,50.03,-21.76
475,0,1309,1369,2541,1272,1212,3.2631,6.0590,4.9372,-0.0183,-0.0605,-0.0136,50.83,-22.66
537,0,1308,1368,2540,1264,1210,3.1721,6.1165,5.1287,0.0266,0.0180,0.0301,50.02,-21.67
578,0,1307,1357,2537,1272,1211,3.2272,6.1284,4.9324,0.0122,-0.0130,0.0167,51.17,-22.30
640,0,1307,1360,2538,1263,1209,3.3230,6.0686,4.9276,0.0093,0.0212,0.0269,50.92,-23.03
681,0,1305,1369,2538,1263,1213,3.1985,6.0614,5.0066,-0.0055,0.0363,0.0345,50.44,-22.14
743,0,1307,1360,2538,1262,1210,3.3182,6.1452,4.9875,0.0066,-0.0274,0.0056,50.94,-22.75
785,0,1309,1369,2540,1263,1211,3.2272,6.0542,5.0689,0.0058,0.0079,0.0216,50.06,-22.23
846,0,1307,1367,2539,1272,1209,3.2966,6.1404,5.0258,0.0031,-0.0102,0.0074,50.70,-22.56
888,0,1308,1368,2540,1272,1211,3.2080,6.0327,5.0689,0.0167,-0.0029,0.0120,49.96,-22.15
950,0,1307,1359,2540,1264,1210,3.2894,6.1356,4.9946,0.0074,0.0091,0.0166,50.85,-22.58
1012,0,1307,1359,2539,1262,1211,3.2152,6.0566,5.0138,0.0014,-0.0224,-0.0016,50.38,-22.24
