timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
29,0,1325,1358,2700,1340,1247,1.8218,2.6410,5.1697,-0.1218,-0.1295,-0.0893,27.06,-17.42
111,0,1322,1367,2698,1339,1246,1.8434,2.6267,5.1003,-0.1249,-0.1103,-0.0805,27.25,-17.81
133,0,1321,1359,2700,1340,1246,1.8985,2.6003,5.1961,-0.1274,-0.1252,-0.0773,26.59,-18.09
195,0,1322,1369,2703,1342,1255,1.8458,2.5740,5.1171,-0.1173,-0.0950,-0.0895,26.70,-17.86
237,0,1324,1367,2701,1340,1254,1.8625,2.5405,5.1051,-0.1326,-0.1139,-0.0831,26.46,-18.09
299,0,1325,1368,2700,1340,1247,1.9344,2.5836,5.1410,-0.1242,-0.1234,-0.0866,26.68,-18.58
341,0,1324,1369,2710,1341,1246,1.8602,2.5788,5.1434,-0.1156,-0.1308,-0.0969,26.63,-17.92
403,0,1324,1367,2701,1338,1248,1.8027,2.5860,5.2009,-0.1174,-0.0992,-0.0915,26.44,-17.24
465,0,1324,1368,2702,1340,1254,1.8266,2.5836,5.1338,-0.1156,-0.1204,-0.0814,26.71,-17.63
507,0,1323,1368,2699,1339,1247,1.8913,2.6434,5.0189,-0.1202,-0.1278,-0.0825,27.78,-18.44
569,0,1323,1368,2701,1340,1247,1.8697,2.6099,5.0524,-0.1132,-0.1322,-0.0847,27.32,-18.20
611,0,1323,1367,2700,1339,1255,1.9128,2.5525,5.1865,-0.1322,-0.1078,-0.0761,26.20,-18.31
673,0,1324,1360,2701,1338,1247,1.8793,2.5620,5.2152,-0.1363,-0.1112,-0.0849,26.16,-17.92
715,0,1324,1367,2702,1340,1247,1.8793,2.6291,5.1721,-0.1305,-0.1158,-0.0822,26.94,-17.95
777,0,1324,1368,2711,1342,1255,1.9320,2.5764,5.1961,-0.1299,-0.1352,-0.0862,26.37,-18.42
819,0,1324,1360,2700,1340,1248,1.8865,2.5740,5.2081,-0.1100,-0.1171,-0.0937,26.30,-17.99
881,0,1325,1369,2703,1340,1256,1.8482,2.6147,5.1267,-0.1117,-0.1086,-0.0911,27.02,-17.80
923,0,1323,1368,2702,1340,1257,1.8649,2.5812,5.0261,-0.1259,-0.1367,-0.0907,27.18,-18.27
985,0,1326,1368,2701,1340,1247,1.8937,2.5429,5.1937,-0.1214,-0.1267,-0.0947,26.09,-18.13
1047,0,1325,1360,2703,1339,1255,1.8290,2.5668,5.1075,-0.1265,-0.1180,-0.0931,26.68,-17.74
1089,0,1324,1369,2702,1340,1247,1.9248,2.6195,5.0716,-0.1457,-0.1078,-0.0821,27.32,-18.63
1151,0,1323,1368,2703,1341,1248,1.9535,2.5525,5.1626,-0.1367,-0.1459,-0.0974,26.31,-18.74
1193,0,1324,1369,2699,1340,1256,1.8099,2.5788,5.2105,-0.1255,-0.0987,-0.0935,26.33,-17.29
1275,0,1325,1367,2711,1341,1247,1.8961,2.5525,5.3733,-0.1086,-0.1356,-0.0913,25.41,-17.68
1297,0,1324,1368,2704,1342,1257,1.8506,2.5764,5.1458,-0.1146,-0.1070,-0.0813,26.60,-17.83
1359,0,1324,1367,2701,1341,1248,1.9823,2.6434,5.1458,-0.1178,-0.1178,-0.0929,27.19,-18.91
1401,0,1325,1368,2703,1341,1248,1.9368,2.5932,5.2105,-0.1222,-0.1268,-0.0918,26.46,-18.41
1463,0,1325,1367,2704,1338,1256,1.8865,2.5788,5.1530,-0.1223,-0.1419,-0.0894,26.59,-18.13
1525,0,1324,1366,2701,1340,1256,1.8625,2.5716,5.1530,-0.1249,-0.1118,-0.0853,26.52,-17.92
1567,0,1324,1359,2701,1341,1248,1.9056,2.6243,5.1937,-0.1293,-0.1214,-0.0891,26.81,-18.13
1629,0,1323,1367,2701,1339,1256,1.9583,2.4998,5.1817,-0.1168,-0.1235,-0.1030,25.75,-18.80
1671,0,1324,1369,2702,1340,1246,1.8625,2.6267,5.1219,-0.1138,-0.1132,-0.0967,27.15,-17.93
1733,0,1323,1367,2702,1338,1255,1.7452,2.6961,5.2057,-0.1393,-0.1354,-0.1035,27.38,-16.58
1795,0,1323,1367,2699,1341,1256,1.9511,2.6817,5.1075,-0.1350,-0.1539,-0.1030,27.70,-18.69
1837,0,1322,1368,2702,1340,1246,1.9751,2.3082,5.2512,-0.1318,-0.1699,-0.0742,23.73,-19.00
1898,0,1323,1367,2700,1340,1254,1.9056,2.6961,5.2057,-0.1234,-0.0340,-0.0296,27.38,-18.01
1940,0,1326,1368,2700,1341,1247,2.0301,2.7201,5.2248,-0.1477,-0.1585,-0.1090,27.50,-19.02
2002,0,1322,1367,2701,1340,1245,1.8793,2.3681,5.4140,-0.1114,-0.0823,-0.1172,23.62,-17.64
2044,0,1325,1358,2699,1339,1246,1.7380,2.6961,5.2296,-0.1173,-0.1179,-0.1064,27.27,-16.46
2106,0,1324,1367,2701,1340,1254,1.8793,2.6003,5.2009,-0.1399,-0.1804,-0.0915,26.56,-17.91
2148,0,1325,1366,2704,1342,1255,1.7931,2.5812,5.2200,-0.1343,-0.1439,-0.0797,26.31,-17.11
2210,0,1324,1368,2701,1339,1247,1.7404,2.5549,5.1147,-0.1172,-0.1267,-0.0806,26.54,-16.93
2252,0,1324,1369,2702,1341,1254,1.8314,2.4423,5.2440,-0.1270,-0.0925,-0.0063,24.97,-17.57
2314,0,1326,1369,2699,1341,1256,2.1020,2.5956,5.2344,-0.1096,-0.1625,-0.0361,26.38,-19.79
2376,0,1325,1369,2703,1341,1248,2.1594,2.5836,5.1578,-0.0973,-0.0866,-0.0669,26.61,-20.52
2418,0,1324,1367,2701,1341,1255,2.1307,2.6195,5.1027,-0.1076,-0.1200,-0.1015,27.17,-20.38
2480,0,1324,1367,2700,1339,1248,1.9152,2.5357,5.1697,-0.1411,-0.1207,-0.1210,26.13,-18.40
2522,0,1325,1360,2702,1341,1247,1.8793,2.5333,5.3014,-0.1666,-0.1382,-0.1256,25.54,-17.74
2584,0,1327,1368,2702,1340,1247,1.7548,2.4639,5.3709,-0.1374,-0.0850,-0.1174,24.64,-16.54
2626,0,1325,1368,2701,1339,1248,1.7859,2.5165,5.3876,-0.0869,-0.0850,-0.0765,25.04,-16.72
2688,0,1323,1368,2700,1336,1247,1.8865,2.6339,5.2942,-0.0621,-0.1432,-0.0646,26.45,-17.69
2730,0,1324,1368,2703,1341,1255,1.9439,2.5860,5.1961,-0.0766,-0.1123,-0.0670,26.46,-18.52
2792,0,1325,1368,2702,1338,1246,2.0230,2.6051,5.0692,-0.1069,-0.1324,-0.0902,27.20,-19.54
2854,0,1325,1370,2711,1340,1256,1.9032,2.5908,4.9998,-0.1386,-0.1435,-0.0918,27.39,-18.67
2896,0,1325,1368,2701,1340,1255,1.9775,2.5309,5.1650,-0.1479,-0.1218,-0.0931,26.11,-18.97
2958,0,1326,1368,2700,1339,1247,1.9248,2.4615,5.2368,-0.1195,-0.1040,-0.0870,25.18,-18.40
