timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
19,0,1353,1369,2696,1433,1257,2.3725,2.3106,5.7037,-0.1347,-0.1030,-0.0769,22.05,-21.08
81,0,1354,1367,2696,1422,1256,2.3486,2.5381,5.5959,-0.1038,-0.1588,-0.0941,24.40,-20.92
123,0,1352,1358,2695,1422,1256,2.0996,2.3466,5.6294,-0.1407,-0.0791,-0.0733,22.63,-19.00
185,0,1353,1366,2698,1424,1257,2.2025,2.6075,5.6390,-0.1161,-0.0791,-0.0623,24.82,-19.52
227,0,1352,1357,2697,1431,1256,2.4419,2.5309,5.6127,-0.1358,-0.1387,-0.0949,24.27,-21.63
289,0,1353,1360,2684,1422,1257,2.3821,2.4160,5.7228,-0.1198,-0.1427,-0.0954,22.89,-20.98
331,0,1353,1359,2695,1430,1257,2.1834,2.3585,5.7946,-0.1058,-0.1226,-0.0947,22.15,-19.24
393,0,1353,1358,2696,1423,1247,2.1618,2.4998,5.6534,-0.1343,-0.0746,-0.0681,23.85,-19.28
435,0,1353,1367,2687,1424,1255,2.3701,2.4806,5.6749,-0.1046,-0.1158,-0.0831,23.61,-20.94
497,0,1352,1368,2696,1430,1255,2.2336,2.5453,5.7132,-0.1175,-0.1338,-0.1055,24.01,-19.65
559,0,1352,1367,2697,1432,1256,2.3510,2.4088,5.5361,-0.1389,-0.0857,-0.0799,23.51,-21.28
601,0,1352,1369,2688,1423,1246,2.4372,2.5429,5.6486,-0.1183,-0.1363,-0.0914,24.24,-21.48
663,0,1353,1367,2695,1423,1256,2.1738,2.5237,5.6055,-0.1201,-0.1155,-0.0877,24.24,-19.47
705,0,1353,1367,2696,1430,1256,2.3629,2.4758,5.7348,-0.1089,-0.0954,-0.0903,23.35,-20.72
767,0,1354,1366,2696,1430,1248,2.2504,2.4064,5.6055,-0.1326,-0.1411,-0.0922,23.23,-20.25
809,0,1353,1368,2695,1431,1254,2.1379,2.4615,5.7683,-0.1239,-0.0683,-0.0713,23.11,-18.82
871,0,1351,1368,2687,1431,1256,2.4683,2.4926,5.5959,-0.1282,-0.1228,-0.0823,24.01,-21.95
933,0,1352,1358,2687,1424,1257,2.2480,2.5788,5.7827,-0.1218,-0.1154,-0.0779,24.03,-19.55
975,0,1353,1367,2695,1422,1247,2.2528,2.5357,5.7061,-0.1072,-0.0862,-0.0855,23.96,-19.84
1037,0,1352,1368,2697,1432,1257,2.3342,2.4950,5.6701,-0.1181,-0.1351,-0.0974,23.75,-20.65
1079,0,1353,1368,2696,1432,1256,2.2672,2.5213,5.7084,-0.1124,-0.1139,-0.0863,23.83,-19.97
1141,0,1353,1367,2696,1424,1254,2.3725,2.4519,5.6486,-0.1346,-0.1207,-0.0905,23.46,-21.07
1183,0,1352,1367,2696,1423,1256,2.3893,2.5429,5.6965,-0.1032,-0.1350,-0.1099,24.06,-20.96
1245,0,1353,1360,2696,1432,1255,2.1594,2.3897,5.7659,-0.1258,-0.1200,-0.0918,22.51,-19.08
1287,0,1354,1366,2688,1430,1257,2.2743,2.4208,5.7444,-0.1221,-0.0923,-0.0905,22.85,-20.04
1348,0,1352,1359,2696,1423,1255,2.2121,2.5070,5.6462,-0.1378,-0.1242,-0.0842,23.94,-19.70
1410,0,1353,1367,2697,1433,1256,2.2983,2.3801,5.8066,-0.1234,-0.1107,-0.0861,22.29,-20.11
1452,0,1353,1369,2695,1423,1256,2.2552,2.5213,5.6294,-0.1160,-0.0974,-0.0762,24.13,-20.08
1514,0,1354,1368,2696,1424,1255,2.3198,2.3585,5.7587,-0.1177,-0.1231,-0.0883,22.27,-20.44
1556,0,1352,1367,2696,1431,1256,2.3414,2.4830,5.6677,-0.1152,-0.1208,-0.0759,23.66,-20.73
1618,0,1352,1367,2696,1431,1258,2.2983,2.5237,5.7324,-0.1144,-0.1170,-0.0901,23.76,-20.15
1680,0,1354,1367,2697,1432,1255,2.2935,2.5381,5.6773,-0.1215,-0.1118,-0.0757,24.09,-20.24
1722,0,1344,1357,2688,1422,1254,2.4012,2.3873,5.5624,-0.1513,-0.1592,-0.0901,23.23,-21.64
1764,0,1353,1367,2695,1431,1256,2.3821,2.4423,5.7276,-0.1210,-0.1042,-0.0907,23.09,-20.94
1826,0,1353,1367,2695,1424,1256,2.2648,2.2628,5.6031,-0.1547,-0.1295,-0.0821,21.99,-20.55
1868,0,1353,1368,2696,1432,1254,2.1475,2.4447,5.7659,-0.1104,-0.0791,-0.0498,22.98,-18.93
1930,0,1343,1359,2686,1430,1256,2.2600,2.4543,5.7659,-0.1048,-0.0890,-0.0778,23.06,-19.83
1992,0,1352,1368,2695,1432,1257,2.3127,2.4447,5.7156,-0.1385,-0.1000,-0.0723,23.16,-20.41
2034,0,1353,1359,2696,1423,1256,2.3127,2.4232,5.7587,-0.1197,-0.1148,-0.0849,22.82,-20.31
2096,0,1353,1357,2684,1422,1248,2.2408,2.5070,5.7683,-0.1094,-0.0903,-0.0769,23.49,-19.61
2138,0,1352,1367,2695,1431,1256,2.2600,2.5070,5.7013,-0.1381,-0.1228,-0.0669,23.74,-19.94
2200,0,1353,1360,2696,1431,1257,2.4156,2.4519,5.6031,-0.1334,-0.1244,-0.0911,23.63,-21.55
2242,0,1353,1368,2695,1424,1255,2.2839,2.5477,5.6510,-0.1141,-0.1002,-0.0689,24.27,-20.23
2304,0,1352,1367,2696,1431,1256,2.4156,2.4687,5.6223,-0.1130,-0.1291,-0.0829,23.71,-21.47
2346,0,1354,1369,2697,1432,1257,2.3629,2.4567,5.6582,-0.1269,-0.1062,-0.0917,23.47,-20.96
2408,0,1354,1370,2686,1431,1256,2.3965,2.4495,5.6941,-0.1173,-0.1693,-0.1099,23.28,-21.14
2470,0,1352,1367,2696,1422,1256,2.2049,2.4208,5.7180,-0.1279,-0.0785,-0.0758,22.95,-19.55
2512,0,1352,1366,2696,1431,1255,2.3605,2.4016,5.7396,-0.1227,-0.1258,-0.0882,22.71,-20.78
2574,0,1352,1367,2696,1432,1257,2.3917,2.4711,5.7420,-0.1105,-0.0990,-0.0882,23.28,-20.94
2616,0,1354,1359,2694,1432,1256,2.2193,2.4280,5.7061,-0.1373,-0.1014,-0.0734,23.05,-19.69
2678,0,1354,1367,2696,1432,1256,2.4348,2.4495,5.8473,-0.1048,-0.1031,-0.0822,22.73,-21.01
2720,0,1355,1367,2695,1431,1255,2.2432,2.4782,5.5313,-0.1104,-0.1107,-0.0990,24.13,-20.31
2782,0,1355,1360,2695,1431,1256,2.2696,2.5620,5.7396,-0.1166,-0.1207,-0.0857,24.06,-19.85
2824,0,1353,1368,2695,1431,1257,2.3701,2.5572,5.6630,-0.1149,-0.1026,-0.0823,24.30,-20.88
2886,0,1344,1359,2697,1432,1256,2.4204,2.4184,5.7252,-0.1365,-0.1511,-0.1023,22.90,-21.28
2948,0,1354,1368,2696,1432,1248,2.2863,2.4758,5.8114,-0.1066,-0.0886,-0.0890,23.08,-19.90
2990,0,1353,1367,2695,1432,1257,2.4898,2.6051,5.6630,-0.1002,-0.1315,-0.0986,24.70,-21.77
