timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
61,0,1098,1098,2283,1162,1035,6.7467,6.6791,5.1646,0.0023,0.0443,0.0058,52.29,-38.63
122,0,1097,1099,2284,1166,1037,6.8089,6.5546,5.2029,0.0121,0.0279,0.0094,51.56,-39.13
163,0,1100,1099,2284,1165,1036,6.8161,6.5905,5.2341,-0.0151,-0.0080,0.0046,51.54,-39.00
225,0,1098,1097,2283,1165,1036,6.7491,6.4564,5.4280,0.0322,0.0038,0.0058,49.95,-38.66
266,0,1098,1100,2285,1174,1035,6.7275,6.4995,5.3562,0.0109,-0.0092,0.0084,50.51,-38.62
328,0,1099,1100,2285,1174,1037,6.8496,6.5426,5.3633,0.0646,-0.0098,0.0076,50.66,-39.00
370,0,1097,1096,2281,1164,1034,6.8616,6.6169,5.0353,0.0222,-0.0495,0.0023,52.73,-39.53
432,0,1099,1099,2284,1165,1038,6.6629,6.6384,5.2053,0.0173,0.0372,0.0135,51.90,-38.30
493,0,1098,1101,2285,1175,1034,6.8257,6.6384,5.1024,0.0138,0.0000,0.0174,52.45,-39.19
534,0,1099,1100,2284,1162,1037,6.8065,6.6264,5.1431,-0.0195,-0.0311,0.0131,52.18,-39.06
596,0,1098,1101,2285,1165,1036,6.7658,6.4708,5.4280,0.0097,0.0204,0.0220,50.01,-38.70
637,0,1100,1101,2284,1168,1036,6.8113,6.4780,5.2101,-0.0099,-0.0318,0.0052,51.19,-39.33
699,0,1099,1100,2285,1166,1035,6.6317,6.6192,5.3538,0.0675,0.0315,0.0404,51.03,-37.92
740,0,1100,1099,2283,1163,1037,6.9023,6.6504,5.1455,0.0548,-0.0486,0.0198,52.27,-39.38
802,0,1098,1100,2284,1165,1036,6.7084,6.6025,5.1383,0.0029,-0.0064,0.0206,52.11,-38.72
864,0,1100,1100,2284,1166,1034,6.8424,6.5857,5.2005,0.0085,0.0173,-0.0002,51.70,-39.19
906,0,1098,1099,2284,1165,1036,6.8065,6.6432,5.0641,-0.0133,-0.0557,-0.0065,52.68,-39.17
968,0,1099,1099,2282,1164,1035,6.5863,6.7102,5.2436,0.0126,0.0139,0.0148,51.99,-37.72
1010,0,1099,1101,2285,1165,1036,6.8448,6.5881,5.2724,0.0114,-0.0286,0.0216,51.33,-39.05
1072,0,1098,1099,2282,1166,1035,6.7131,6.5570,5.4136,0.0576,0.0139,0.0396,50.46,-38.29
1113,0,1098,1099,2281,1165,1034,6.8640,6.5618,5.2819,0.0560,-0.0206,0.0170,51.17,-39.18
1175,0,1099,1100,2284,1165,1036,6.7658,6.6121,5.1383,-0.0057,-0.0282,0.0042,52.15,-38.94
1217,0,1100,1100,2286,1166,1036,6.6605,6.6192,5.1790,0.0179,0.0252,0.0178,51.96,-38.40
1279,0,1100,1099,2284,1175,1034,6.9191,6.5474,5.0497,0.0121,-0.0537,0.0107,52.36,-39.92
1341,0,1099,1099,2285,1167,1036,6.7419,6.5857,5.2365,0.0067,0.0096,0.0203,51.51,-38.70
1382,0,1100,1102,2285,1167,1036,6.8544,6.5977,5.1431,0.0070,0.0173,0.0111,52.06,-39.33
1443,0,1100,1098,2283,1166,1035,6.7491,6.5187,5.1886,0.0031,-0.0217,-0.0017,51.48,-39.01
1485,0,1101,1098,2283,1166,1036,6.6222,6.6001,5.2963,0.0175,0.0428,0.0248,51.25,-38.04
1546,0,1099,1100,2286,1167,1035,6.8712,6.5977,5.2029,0.0395,0.0118,0.0249,51.74,-39.28
1607,0,1101,1101,2284,1176,1036,6.8448,6.5929,5.1574,0.0279,-0.0174,0.0026,51.96,-39.27
1649,0,1100,1100,2284,1176,1035,6.8305,6.5833,5.1958,0.0097,-0.0017,-0.0033,51.72,-39.16
1711,0,1100,1101,2285,1175,1036,6.6389,6.5905,5.1359,0.0103,-0.0026,-0.0093,52.07,-38.47
1753,0,1101,1100,2286,1175,1037,6.7969,6.4852,5.0880,0.0006,-0.0502,-0.0064,51.88,-39.51
1815,0,1101,1100,2284,1166,1037,6.6677,6.4684,5.1167,0.0151,-0.0102,0.0150,51.65,-38.95
1877,0,1098,1098,2281,1164,1034,6.8041,6.4469,4.9922,-0.0055,-0.0338,0.0106,52.25,-39.84
1919,0,1100,1102,2285,1175,1035,6.5934,6.5857,5.2436,-0.0035,-0.0323,0.0200,51.47,-38.07
1981,0,1100,1100,2284,1166,1036,6.5791,6.5235,5.1048,-0.0207,-0.0630,0.0521,51.96,-38.46
2023,0,1099,1101,2282,1166,1036,6.9454,6.6216,5.1766,0.0074,-0.0482,0.0357,51.98,-39.57
2085,0,1098,1099,2283,1176,1034,6.8568,6.5666,5.2149,0.0031,-0.0549,0.0281,51.54,-39.27
2127,0,1102,1101,2286,1167,1037,6.6796,6.6025,5.1958,0.0155,0.0044,0.0120,51.80,-38.49
2188,0,1101,1100,2284,1166,1035,6.8903,6.5857,5.2317,0.0243,-0.0413,0.0038,51.54,-39.33
2230,0,1100,1103,2284,1165,1034,6.6868,6.6504,5.1096,0.0181,-0.0264,0.0058,52.46,-38.57
2292,0,1101,1102,2286,1166,1036,6.7993,6.6839,5.0449,0.0255,-0.0174,0.0092,52.95,-39.07
2354,0,1100,1101,2282,1165,1035,6.6844,6.6432,5.1335,0.0013,-0.0228,0.0120,52.31,-38.53
2396,0,1099,1101,2284,1175,1036,6.7108,6.6384,5.2269,0.0114,0.0201,0.0214,51.78,-38.46
2457,0,1101,1102,2285,1178,1034,6.7443,6.5785,5.1550,0.0023,-0.0164,0.0103,51.92,-38.90
2499,0,1099,1103,2285,1165,1035,6.8185,6.5187,5.1814,0.0167,-0.0329,0.0158,51.52,-39.31
2561,0,1097,1100,2283,1174,1036,6.7443,6.6408,5.1311,0.0207,-0.0025,0.0124,52.31,-38.79
2603,0,1100,1102,2286,1168,1035,6.7874,6.6959,5.1000,0.0166,-0.0021,0.0135,52.70,-38.88
2665,0,1100,1103,2287,1168,1036,6.8041,6.5738,5.1383,0.0099,-0.0279,0.0144,51.99,-39.20
2707,0,1101,1102,2284,1166,1036,6.6964,6.5857,5.1455,0.0011,-0.0052,0.0140,52.00,-38.70
2769,0,1101,1109,2284,1167,1035,6.8448,6.5929,5.0689,0.0127,-0.0141,0.0116,52.45,-39.46
2831,0,1098,1103,2283,1175,1037,6.6748,6.6288,5.0641,-0.0065,-0.0338,0.0139,52.62,-38.67
2873,0,1101,1110,2283,1166,1035,6.8233,6.6145,5.0689,0.0119,0.0058,0.0263,52.54,-39.31
2934,0,1100,1100,2283,1166,1036,6.9861,6.5929,5.0617,-0.0069,-0.0359,0.0164,52.48,-40.05
2976,0,1099,1102,2285,1176,1035,6.6701,6.6456,5.3490,0.0027,0.0095,0.0160,51.17,-38.02
