timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
9,0,1423,1452,2680,1341,1239,2.8609,2.7224,4.4395,-0.0663,-0.0925,-0.1230,31.52,-28.78
50,0,1422,1450,2670,1340,1230,2.8346,2.5884,4.4204,-0.0457,-0.1142,-0.1334,30.35,-28.96
112,0,1422,1452,2671,1339,1230,2.8130,2.7416,4.3461,-0.0292,-0.1156,-0.1360,32.24,-28.70
154,0,1421,1451,2679,1341,1232,2.8106,2.6889,4.2911,-0.0429,-0.0950,-0.1355,32.07,-29.03
216,0,1424,1452,2679,1342,1230,2.7484,2.8062,4.1211,-0.0467,-0.0659,-0.1468,34.25,-28.87
258,0,1422,1450,2679,1340,1231,2.8561,2.7655,4.1618,-0.0488,0.0203,-0.1380,33.60,-29.75
320,0,1420,1449,2669,1340,1229,2.3821,2.8326,4.0397,-0.0804,-0.0725,-0.1334,35.04,-25.77
382,0,1421,1451,2680,1341,1239,2.5712,2.6865,4.1474,-0.0937,-0.0677,-0.1184,32.93,-27.49
424,0,1421,1452,2671,1339,1239,2.4946,2.7847,4.2384,-0.1170,-0.1183,-0.0989,33.31,-26.19
486,0,1420,1451,2671,1341,1240,2.6574,2.8637,4.0995,-0.1281,-0.0047,-0.0685,34.94,-27.99
528,0,1421,1450,2679,1342,1240,2.4970,2.5812,4.2504,-0.1034,-0.0166,-0.0754,31.27,-26.66
590,0,1421,1450,2670,1341,1230,2.7867,2.7440,4.3677,-0.0776,-0.1023,-0.1252,32.14,-28.38
652,0,1420,1450,2679,1341,1231,2.4563,2.7440,4.0828,-0.0880,-0.0945,-0.1171,33.90,-26.53
694,0,1422,1452,2678,1341,1239,2.6622,2.8398,3.9128,-0.1172,-0.1099,-0.1095,35.97,-28.84
756,0,1423,1452,2671,1339,1231,2.6095,2.7703,4.0014,-0.1195,-0.1190,-0.0991,34.70,-28.20
798,0,1419,1450,2679,1341,1238,2.4874,2.7177,4.0517,-0.1241,-0.0188,-0.0671,33.85,-27.02
860,0,1420,1452,2680,1342,1240,2.6071,2.8398,4.1857,-0.1124,-0.1140,-0.1028,34.15,-27.27
