timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
11,0,1452,1435,2383,1438,1270,2.5721,10.8186,4.2808,-0.2102,0.1503,0.1315,68.41,-12.47
72,0,1449,1434,2381,1435,1263,2.4907,10.8090,4.2688,-0.2106,0.1525,0.1301,68.45,-12.10
122,0,1452,1436,2391,1437,1264,2.5506,10.8760,4.2377,-0.2069,0.1404,0.1363,68.71,-12.33
173,0,1451,1433,2390,1437,1260,2.4045,10.8186,4.2736,-0.2041,0.1481,0.1439,68.44,-11.68
224,0,1452,1436,2382,1438,1262,2.5674,10.8784,4.2832,-0.1983,0.1591,0.1502,68.51,-12.39
275,0,1452,1436,2391,1438,1262,2.5841,10.9120,4.2090,-0.1963,0.1581,0.1407,68.91,-12.46
336,0,1451,1435,2384,1437,1263,2.5697,10.9120,4.1563,-0.2009,0.1547,0.1342,69.15,-12.41
387,0,1451,1435,2382,1436,1261,2.5961,10.8832,4.1395,-0.2057,0.1635,0.1347,69.18,-12.57
438,0,1451,1435,2389,1437,1262,2.5650,10.8832,4.2090,-0.2185,0.1597,0.1290,68.86,-12.40
489,0,1450,1435,2390,1438,1270,2.5147,10.8689,4.1659,-0.2314,0.1643,0.1277,69.03,-12.19
550,0,1453,1433,2383,1438,1262,2.5482,10.8210,4.2568,-0.2264,0.1625,0.1271,68.53,-12.36
601,0,1453,1434,2382,1436,1262,2.5027,10.8042,4.2951,-0.2112,0.1533,0.1297,68.32,-12.15
652,0,1450,1434,2384,1448,1262,2.5314,10.9000,4.2353,-0.2017,0.1541,0.1330,68.77,-12.21
703,0,1450,1433,2391,1439,1271,2.5123,10.8976,4.2090,-0.2037,0.1519,0.1294,68.88,-12.14
754,0,1452,1435,2383,1436,1261,2.4524,10.9048,4.2736,-0.2169,0.1565,0.1294,68.60,-11.83
805,0,1449,1437,2392,1437,1262,2.5578,10.8713,4.3287,-0.2173,0.1455,0.1309,68.29,-12.33
866,0,1451,1435,2382,1439,1262,2.5554,10.8952,4.2353,-0.2088,0.1451,0.1279,68.76,-12.33
917,0,1452,1433,2381,1436,1271,2.5769,10.8377,4.2305,-0.2049,0.1697,0.1433,68.68,-12.49
978,0,1450,1436,2390,1437,1261,2.5578,10.8665,4.1707,-0.2118,0.1764,0.1331,69.00,-12.39
1029,0,1451,1435,2383,1438,1261,2.4907,10.8377,4.2640,-0.2272,0.1797,0.1327,68.52,-12.07
1080,0,1452,1435,2382,1436,1262,2.4764,10.8521,4.2928,-0.2117,0.1599,0.1290,68.42,-11.98
1131,0,1452,1434,2382,1437,1264,2.4620,10.8449,4.3023,-0.2030,0.1523,0.1489,68.36,-11.92
1182,0,1451,1435,2391,1440,1271,2.6416,10.8713,4.2281,-0.1919,0.1611,0.1387,68.75,-12.76
1243,0,1452,1435,2391,1437,1270,2.5386,10.8880,4.1970,-0.2109,0.1555,0.1218,68.92,-12.27
1294,0,1453,1435,2382,1436,1263,2.5410,10.8282,4.2233,-0.2189,0.1592,0.1325,68.69,-12.33
1345,0,1450,1436,2390,1439,1270,2.5458,10.8665,4.2042,-0.2090,0.1476,0.1342,68.85,-12.33
1396,0,1451,1436,2383,1438,1271,2.6057,10.8329,4.2090,-0.2137,0.1519,0.1371,68.77,-12.64
1447,0,1453,1435,2383,1439,1271,2.5434,10.8856,4.2114,-0.2020,0.1456,0.1270,68.85,-12.29
1508,0,1451,1435,2383,1437,1263,2.5602,10.8928,4.1730,-0.2036,0.1527,0.1330,69.04,-12.38
1559,0,1449,1434,2383,1439,1261,2.5147,10.9239,4.2401,-0.2169,0.1533,0.1326,68.79,-12.11
1610,0,1450,1433,2382,1437,1261,2.5769,10.8449,4.2281,-0.2181,0.1507,0.1311,68.70,-12.48
1661,0,1451,1435,2382,1438,1270,2.6320,10.8593,4.1730,-0.2074,0.1539,0.1313,68.98,-12.75
1712,0,1451,1435,2383,1438,1264,2.6033,10.8689,4.1180,-0.2065,0.1517,0.1306,69.25,-12.62
1773,0,1454,1437,2390,1446,1272,2.5219,10.8689,4.2090,-0.2164,0.1701,0.1337,68.83,-12.21
1824,0,1451,1434,2383,1436,1270,2.5410,10.8282,4.2664,-0.2201,0.1719,0.1339,68.49,-12.32
1875,0,1451,1434,2382,1436,1260,2.5075,10.8497,4.2928,-0.2122,0.1705,0.1299,68.41,-12.13
1926,0,1450,1437,2391,1436,1273,2.5650,10.8617,4.3167,-0.2084,0.1685,0.1363,68.33,-12.38
