timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
41,0,1324,1415,2678,1310,1227,-0.5293,2.3082,4.6263,-0.1334,-0.0885,-0.0790,26.52,5.84
103,0,1325,1417,2681,1319,1231,-0.3497,2.0616,4.7627,-0.1239,-0.1186,-0.0898,23.41,3.85
145,0,1325,1418,2682,1311,1230,-0.3162,2.1622,4.7220,-0.1270,-0.0933,-0.0855,24.60,3.48
207,0,1323,1417,2682,1320,1230,-0.6011,2.1311,4.7340,-0.1525,-0.0366,-0.0778,24.24,6.60
269,0,1323,1417,2681,1319,1229,-0.6705,2.3513,4.6119,-0.1088,-0.0492,-0.0746,27.01,7.38
311,0,1324,1417,2679,1318,1230,-0.7184,2.4423,4.6478,-0.0854,-0.1051,-0.0701,27.72,7.79
373,0,1325,1416,2681,1320,1229,-0.5077,2.1790,4.6167,-0.1359,-0.1336,-0.0690,25.27,5.68
415,0,1324,1417,2681,1312,1230,-0.5341,2.2268,4.6598,-0.1106,-0.1162,-0.0930,25.54,5.90
477,0,1321,1416,2683,1312,1231,-0.4910,2.2652,4.5999,-0.1108,-0.1347,-0.1064,26.22,5.47
520,0,1324,1416,2684,1320,1231,-0.6035,2.2963,4.5664,-0.1144,-0.1088,-0.1012,26.70,6.73
581,0,1323,1419,2684,1321,1230,-0.6442,2.3274,4.6526,-0.1271,-0.0995,-0.0839,26.58,7.06
623,0,1324,1407,2681,1320,1238,-0.5460,2.3226,4.5760,-0.1358,-0.1104,-0.0846,26.91,6.07
685,0,1324,1417,2683,1321,1230,-0.5532,2.3442,4.6023,-0.1583,-0.0937,-0.0769,26.99,6.11
747,0,1325,1417,2681,1317,1229,-0.5293,2.2508,4.7220,-0.1547,-0.1152,-0.0907,25.49,5.78
789,0,1326,1416,2681,1321,1230,-0.7088,2.3346,4.7460,-0.1345,-0.0865,-0.0871,26.19,7.63
851,0,1323,1417,2682,1312,1229,-0.5891,2.2891,4.6670,-0.1402,-0.1303,-0.0995,26.13,6.47
893,0,1322,1417,2682,1320,1231,-0.6705,2.2723,4.5425,-0.1093,-0.1150,-0.0909,26.58,7.52
