timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
22,0,1289,1340,2648,1342,1241,2.4659,2.7679,4.1211,-0.1161,-0.0958,-0.0842,33.89,-26.41
84,0,1289,1340,2651,1342,1241,2.3605,2.8350,4.2935,-0.1017,-0.1167,-0.1028,33.44,-24.65
126,0,1291,1342,2649,1340,1240,2.3988,2.7272,4.1019,-0.1121,-0.1335,-0.0970,33.62,-25.97
188,0,1290,1341,2650,1342,1242,2.3103,2.8015,4.1618,-0.1142,-0.1110,-0.0830,33.95,-24.73
230,0,1290,1340,2650,1344,1240,2.3845,2.8015,4.1594,-0.1117,-0.1162,-0.0786,33.96,-25.43
292,0,1292,1340,2649,1342,1242,2.4826,2.7440,4.0181,-0.1017,-0.1655,-0.1014,34.33,-27.03
334,0,1289,1340,2649,1340,1241,2.3174,2.6794,4.1187,-0.1435,-0.1275,-0.0787,33.05,-25.25
396,0,1289,1340,2649,1341,1242,2.4204,2.7416,4.0900,-0.0945,-0.1046,-0.1107,33.83,-26.18
438,0,1291,1341,2649,1343,1242,2.3174,2.7296,4.0636,-0.1317,-0.1034,-0.0937,33.89,-25.33
501,0,1291,1339,2647,1342,1243,2.4611,2.7224,4.1091,-0.1329,-0.0961,-0.0927,33.53,-26.53
562,0,1290,1340,2648,1343,1242,2.3821,2.6746,4.0086,-0.1242,-0.1371,-0.0965,33.71,-26.30
604,0,1291,1339,2649,1340,1241,2.3749,2.6386,4.1714,-0.1251,-0.1175,-0.0938,32.32,-25.69
666,0,1291,1340,2648,1343,1243,2.3294,2.7392,4.1905,-0.1175,-0.1179,-0.0955,33.17,-24.95
708,0,1290,1338,2647,1342,1242,2.3797,2.6817,4.1378,-0.1211,-0.1104,-0.0910,32.95,-25.76
770,0,1290,1341,2647,1341,1243,2.3725,2.8062,4.1331,-0.1194,-0.1346,-0.0955,34.18,-25.40
812,0,1288,1341,2649,1341,1243,2.4012,2.7248,4.1331,-0.1259,-0.1228,-0.0930,33.40,-25.88
875,0,1289,1339,2648,1341,1242,2.4036,2.7751,4.1235,-0.1144,-0.1624,-0.0987,33.94,-25.81
916,0,1291,1342,2651,1343,1243,2.3558,2.7177,4.1259,-0.1303,-0.1443,-0.0858,33.37,-25.49
978,0,1291,1340,2650,1350,1241,2.3246,2.7799,4.0636,-0.1259,-0.1054,-0.0757,34.38,-25.27
1020,0,1293,1341,2651,1352,1243,2.4731,2.7751,4.0971,-0.1303,-0.1311,-0.0758,34.11,-26.55
1082,0,1292,1339,2650,1342,1240,2.4755,2.7105,4.1977,-0.1243,-0.1440,-0.0961,32.85,-26.35
1144,0,1293,1340,2649,1343,1241,2.3773,2.8110,4.1953,-0.1282,-0.1056,-0.1032,33.82,-25.21
1186,0,1291,1340,2649,1344,1245,2.3941,2.8015,4.1355,-0.1122,-0.1159,-0.1326,34.11,-25.61
1248,0,1290,1341,2649,1342,1243,2.2600,2.7033,4.1738,-0.1222,-0.1326,-0.1364,32.93,-24.44
1290,0,1289,1341,2650,1343,1243,2.3007,2.7488,4.0708,-0.1158,-0.1352,-0.1140,34.03,-25.10
